   1123 の	助詞,接続助詞,*,*,の,の,*
      2 巡る	動詞,*,子音動詞ラ行,基本形,巡る,めぐる,代表表記:巡る/めぐる
      2 循環	名詞,サ変名詞,*,*,循環,じゅんかん,代表表記:循環/じゅんかん カテゴリ:抽象物
      2 出会う	動詞,*,子音動詞ワ行,基本形,出会う,であう,代表表記:出会う/であう
      2 出した	動詞,*,子音動詞サ行,タ形,出す,だした,代表表記:出す/だす 補文ト 付属動詞候補（基本） 自他動詞:自:出る/でる 反義:動詞:隠す/かくす;動詞:入れる/いれる
      2 出し	動詞,*,子音動詞サ行,基本連用形,出す,だし,代表表記:出す/だす 補文ト 付属動詞候補（基本） 自他動詞:自:出る/でる 反義:動詞:隠す/かくす;動詞:入れる/いれる
      2 祝福	名詞,サ変名詞,*,*,祝福,しゅくふく,代表表記:祝福/しゅくふく カテゴリ:抽象物
      2 宿屋	名詞,普通名詞,*,*,宿屋,やどや,代表表記:宿屋/やどや カテゴリ:場所-施設 ドメイン:レクリエーション
      2 重	名詞,普通名詞,*,*,重,じゅう,代表表記:重/じゅう 漢字読み:音 カテゴリ:数量
      2 従者	名詞,普通名詞,*,*,従者,じゅうしゃ,代表表記:従者/じゅうしゃ カテゴリ:人
      2 十一	名詞,数詞,*,*,*,*,*
      2 襲わ	動詞,*,子音動詞ワ行,未然形,襲う,おそわ,代表表記:襲う/おそう
      2 終末	名詞,普通名詞,*,*,終末,しゅうまつ,代表表記:終末/しゅうまつ カテゴリ:時間
      2 終戦	名詞,普通名詞,*,*,終戦,しゅうせん,代表表記:終戦/しゅうせん カテゴリ:抽象物 ドメイン:政治 反義:名詞-サ変名詞:開戦/かいせん
      2 終わり	動詞,*,子音動詞ラ行,基本連用形,終わる,おわり,代表表記:終わる/おわる 付属動詞候補（基本） 自他動詞:他:終える/おえる 反義:動詞:始まる/はじまる
      2 拾った	動詞,*,子音動詞ワ行,タ形,拾う,ひろった,代表表記:拾う/ひろう 反義:動詞:捨てる/すてる
      2 就職	名詞,サ変名詞,*,*,就職,しゅうしょく,代表表記:就職/しゅうしょく カテゴリ:抽象物 ドメイン:ビジネス 反義:名詞-サ変名詞:退職/たいしょく
      2 寿命	名詞,普通名詞,*,*,寿命,じゅみょう,代表表記:寿命/じゅみょう カテゴリ:抽象物 ドメイン:家庭・暮らし
      2 呪術	名詞,普通名詞,*,*,呪術,じゅじゅつ,代表表記:呪術/じゅじゅつ カテゴリ:抽象物
      2 趣味	名詞,普通名詞,*,*,趣味,しゅみ,代表表記:趣味/しゅみ カテゴリ:抽象物 ドメイン:レクリエーション
      2 狩人	名詞,普通名詞,*,*,狩人,かりゅうど,代表表記:狩人/かりゅうど カテゴリ:人
      2 狩る	動詞,*,子音動詞ラ行,基本形,狩る,かる,代表表記:狩る/かる
      2 取った	動詞,*,子音動詞ラ行,タ形,取る,とった,代表表記:取る/とる 付属動詞候補（基本）
      2 主	形容詞,*,ナ形容詞,語幹,主だ,おも,代表表記:主だ/おもだ
      2 若返り	動詞,*,子音動詞ラ行,基本連用形,若返る,わかがえり,代表表記:若返る/わかがえる
      2 邪魔	名詞,サ変名詞,*,*,邪魔,じゃま,代表表記:邪魔/じゃま カテゴリ:抽象物 形容詞派生:邪魔だ/じゃまだ
      2 邪気	名詞,普通名詞,*,*,邪気,じゃき,代表表記:邪気/じゃき カテゴリ:抽象物
      2 車	名詞,普通名詞,*,*,車,くるま,代表表記:車/くるま 漢字読み:訓 カテゴリ:人工物-乗り物 ドメイン:交通
      2 社会	名詞,普通名詞,*,*,社会,しゃかい,代表表記:社会/しゃかい カテゴリ:場所-その他 ドメイン:教育・学習;政治
      2 社	名詞,普通名詞,*,*,社,しゃ,代表表記:社/しゃ 漢字読み:音 組織名末尾 カテゴリ:組織・団体
      2 捨てる	動詞,*,母音動詞,基本形,捨てる,すてる,代表表記:捨てる/すてる 付属動詞候補（基本） 反義:動詞:拾う/ひろう
      2 質問	名詞,サ変名詞,*,*,質問,しつもん,代表表記:質問/しつもん カテゴリ:抽象物
      2 失わ	動詞,*,子音動詞ワ行,未然形,失う,うしなわ,代表表記:失う/うしなう 反義:動詞:得る/える
      2 時々	副詞,*,*,*,時々,ときどき,代表表記:時々/ときどき
      2 時	接尾辞,名詞性名詞助数辞,*,*,時,じ,代表表記:時/じ 準内容語 カテゴリ:時間
      2 事務	名詞,普通名詞,*,*,事務,じむ,代表表記:事務/じむ カテゴリ:抽象物 ドメイン:ビジネス
      2 歯車	名詞,普通名詞,*,*,歯車,はぐるま,代表表記:歯車/はぐるま カテゴリ:人工物-その他
      2 詩集	名詞,普通名詞,*,*,詩集,ししゅう,代表表記:詩集/ししゅう カテゴリ:人工物-その他;抽象物 ドメイン:文化・芸術
      2 詩	名詞,普通名詞,*,*,詩,し,代表表記:詩/し 漢字読み:音 カテゴリ:抽象物 ドメイン:文化・芸術
      2 糸	名詞,普通名詞,*,*,糸,いと,代表表記:糸/いと 漢字読み:訓 カテゴリ:人工物-その他
      2 氏	接尾辞,名詞性名詞接尾辞,*,*,氏,し,代表表記:氏/し
      2 子持ち	名詞,普通名詞,*,*,子持ち,こもち,代表表記:子持ち/こもち カテゴリ:抽象物 ドメイン:家庭・暮らし
      2 始めたら	動詞,*,母音動詞,タ系条件形,始める,はじめたら,代表表記:始める/はじめる 付属動詞候補（基本） 自他動詞:自:始まる/はじまる 反義:動詞:終える/おえる
      2 始めた	動詞,*,母音動詞,タ形,始める,はじめた,代表表記:始める/はじめる 付属動詞候補（基本） 自他動詞:自:始まる/はじまる 反義:動詞:終える/おえる
      2 始まら	動詞,*,子音動詞ラ行,未然形,始まる,はじまら,代表表記:始まる/はじまる 自他動詞:他:始める/はじめる 反義:動詞:終わる/おわる
      2 史上	名詞,時相名詞,*,*,史上,しじょう,代表表記:史上/しじょう 弱時相名詞 カテゴリ:時間
      2 使える	動詞,*,母音動詞,基本形,使える,つかえる,代表表記:使える/つかえる 可能動詞:使う/つかう
      2 使え	動詞,*,母音動詞,基本連用形,使える,つかえ,代表表記:使える/つかえる 可能動詞:使う/つかう
      2 仕方なく	形容詞,*,イ形容詞アウオ段,基本連用形,仕方ない,しかたなく,代表表記:仕方無い/しかたない
      2 参加	名詞,サ変名詞,*,*,参加,さんか,代表表記:参加/さんか カテゴリ:抽象物
      2 殺傷	名詞,サ変名詞,*,*,殺傷,さっしょう,代表表記:殺傷/さっしょう カテゴリ:抽象物 ドメイン:政治
      2 作家	名詞,普通名詞,*,*,作家,さっか,代表表記:作家/さっか カテゴリ:人 ドメイン:文化・芸術
      2 作ろう	動詞,*,子音動詞ラ行,意志形,作る,つくろう,代表表記:作る/つくる
      2 作った	動詞,*,子音動詞ラ行,タ形,作る,つくった,代表表記:作る/つくる
      2 咲く	動詞,*,子音動詞カ行,基本形,咲く,さく,代表表記:咲く/さく
      2 冴え	動詞,*,母音動詞,未然形,冴える,さえ,代表表記:冴える/さえる
      2 罪人	名詞,普通名詞,*,*,罪人,ざいにん,代表表記:罪人/ざいにん カテゴリ:人 ドメイン:政治
      2 罪	名詞,普通名詞,*,*,罪,ざい,代表表記:罪/ざい 漢字読み:音 カテゴリ:抽象物 ドメイン:政治
      2 裁縫	名詞,サ変名詞,*,*,裁縫,さいほう,代表表記:裁縫/さいほう カテゴリ:抽象物 ドメイン:家庭・暮らし
      2 災厄	名詞,普通名詞,*,*,災厄,さいやく,代表表記:災厄/さいやく カテゴリ:抽象物
      2 栽培	名詞,サ変名詞,*,*,栽培,さいばい,代表表記:栽培/さいばい カテゴリ:抽象物
      2 才能	名詞,普通名詞,*,*,才能,さいのう,代表表記:才能/さいのう カテゴリ:抽象物
      2 彩	名詞,人名,*,*,彩,あや,人名:日本:名:373:0.00038
      2 妻	名詞,普通名詞,*,*,妻,つま,代表表記:妻/つま 漢字読み:訓 カテゴリ:人 ドメイン:家庭・暮らし
      2 最近	名詞,時相名詞,*,*,最近,さいきん,代表表記:最近/さいきん カテゴリ:時間
      2 最強です	形容詞,*,ナノ形容詞,デス列基本形,最強だ,さいきょうです,代表表記:最強だ/さいきょうだ
      2 最強でした	形容詞,*,ナノ形容詞,デス列タ形,最強だ,さいきょうでした,代表表記:最強だ/さいきょうだ
      2 最強じゃ	形容詞,*,ナノ形容詞,ダ列タ系連用ジャ形,最強だ,さいきょうじゃ,代表表記:最強だ/さいきょうだ
      2 座	名詞,普通名詞,*,*,座,ざ,代表表記:座/ざ 漢字読み:音 カテゴリ:抽象物
      2 混沌と	形容詞,*,タル形容詞,基本連用形,混沌たる,こんとんと,代表表記:混沌たる/こんとんたる
      2 混沌	名詞,普通名詞,*,*,混沌,こんとん,代表表記:混沌/こんとん カテゴリ:抽象物 形容詞派生:混沌たる/こんとんたる
      2 今度	名詞,時相名詞,*,*,今度,こんど,代表表記:今度/こんど カテゴリ:時間
      2 今回	名詞,時相名詞,*,*,今回,こんかい,代表表記:今回/こんかい カテゴリ:時間
      2 刻	動詞,*,子音動詞マ行,語幹,刻む,きざ,代表表記:刻む/きざむ
      2 合	接尾辞,名詞性名詞助数辞,*,*,合,ごう,代表表記:合/ごう 準内容語
      2 高等	形容詞,*,ナ形容詞,語幹,高等だ,こうとう,代表表記:高等だ/こうとうだ 反義:形容詞:下等だ/かとうだ
      2 降る	動詞,*,子音動詞ラ行,基本形,降る,ふる,代表表記:降る/ふる 反義:動詞:止む/やむ;動詞:上がる/あがる
      2 鉱物	名詞,普通名詞,*,*,鉱物,こうぶつ,代表表記:鉱物/こうぶつ カテゴリ:自然物
      2 行き	動詞,*,子音動詞カ行促音便形,基本連用形,行く,いき,代表表記:行く/いく 付属動詞候補（タ系） ドメイン:交通 反義:動詞:帰る/かえる
      2 行	名詞,普通名詞,*,*,行,ぎょう,代表表記:行/ぎょう 漢字読み:音 カテゴリ:抽象物
      2 考える	動詞,*,母音動詞,基本形,考える,かんがえる,代表表記:考える/かんがえる 補文ト
      2 皇帝	名詞,普通名詞,*,*,皇帝,こうてい,代表表記:皇帝/こうてい 人名末尾 カテゴリ:人 ドメイン:政治
      2 皇女	名詞,普通名詞,*,*,皇女,おうじょ,代表表記:皇女/おうじょ カテゴリ:人 ドメイン:政治
      2 皇子	名詞,普通名詞,*,*,皇子,おうじ,代表表記:皇子/おうじ カテゴリ:人 ドメイン:政治
      2 甲子園	名詞,地名,*,*,甲子園,こうしえん,代表表記:甲子園/こうしえん 地名:日本:兵庫県:地区
      2 康	名詞,人名,*,*,康,やす,人名:日本:名:321:0.00042
      2 幸運	形容詞,*,ナノ形容詞,語幹,幸運だ,こううん,代表表記:幸運だ/こううんだ 反義:形容詞:不運だ/ふうんだ
      2 幸せな	形容詞,*,ナ形容詞,ダ列基本連体形,幸せだ,しあわせな,代表表記:幸せだ/しあわせだ 反義:形容詞:不幸せだ/ふしあわせだ
      2 好き	形容詞,*,ナ形容詞,語幹,好きだ,すき,代表表記:好きだ/すきだ 反義:形容詞:嫌いだ/きらいだ 動詞派生:好く/すく
      2 口づけ	名詞,サ変名詞,*,*,口づけ,くちづけ,代表表記:口付け/くちづけ カテゴリ:抽象物
      2 口	名詞,普通名詞,*,*,口,くち,代表表記:口/くち 漢字読み:訓 カテゴリ:動物-部位;抽象物;形・模様
      2 効か	動詞,*,子音動詞カ行,未然形,効く,きか,代表表記:効く/きく ドメイン:健康・医学
      2 公	名詞,普通名詞,*,*,公,おおやけ,代表表記:公/おおやけ 漢字読み:訓 修飾（ニ格） カテゴリ:抽象物 ドメイン:政治
      2 交流	名詞,サ変名詞,*,*,交流,こうりゅう,代表表記:交流/こうりゅう カテゴリ:抽象物 反義:名詞-サ変名詞:直流/ちょくりゅう
      2 交番	名詞,サ変名詞,*,*,交番,こうばん,代表表記:交番/こうばん カテゴリ:場所-施設 ドメイン:政治
      2 護衛	名詞,サ変名詞,*,*,護衛,ごえい,代表表記:護衛/ごえい カテゴリ:抽象物 ドメイン:政治
      2 語	名詞,普通名詞,*,*,語,ご,代表表記:語/ご 漢字読み:音 カテゴリ:抽象物
      2 後輩	名詞,普通名詞,*,*,後輩,こうはい,代表表記:後輩/こうはい カテゴリ:人 ドメイン:教育・学習;ビジネス
      2 後宮	名詞,普通名詞,*,*,後宮,こうきゅう,代表表記:後宮/こうきゅう カテゴリ:場所-施設 ドメイン:政治
      2 個	接尾辞,名詞性名詞助数辞,*,*,個,こ,代表表記:個/こ 準内容語
      2 限る	動詞,*,子音動詞ラ行,基本形,限る,かぎる,代表表記:限る/かぎる
      2 言語	名詞,普通名詞,*,*,言語,げんご,代表表記:言語/げんご カテゴリ:抽象物
      2 言	名詞,普通名詞,*,*,言,げん,代表表記:言/げん 漢字読み:音 カテゴリ:抽象物
      2 幻影	名詞,普通名詞,*,*,幻影,げんえい,代表表記:幻影/げんえい カテゴリ:抽象物
      2 見えて	動詞,*,母音動詞,タ系連用テ形,見える,みえて,代表表記:見える/みえる 可能動詞:見る/みる 自他動詞:他:見る/みる
      2 県	接尾辞,名詞性特殊接尾辞,*,*,県,けん,代表表記:県/けん 住所末尾 準内容語 カテゴリ:組織・団体;場所-その他
      2 嫌わ	動詞,*,子音動詞ワ行,未然形,嫌う,きらわ,代表表記:嫌う/きらう 反義:動詞:好く/すく
      2 嫌い	形容詞,*,ナ形容詞,語幹,嫌いだ,きらい,代表表記:嫌いだ/きらいだ 反義:形容詞:好きだ/すきだ 動詞派生:嫌う/きらう
      2 結構です	形容詞,*,ナ形容詞,デス列基本形,結構だ,けっこうです,代表表記:結構だ/けっこうだ
      2 結び	動詞,*,子音動詞バ行,基本連用形,結ぶ,むすび,代表表記:結ぶ/むすぶ 反義:動詞:解く/とく;動詞:解く/ほどく
      2 決まる	動詞,*,子音動詞ラ行,基本形,決まる,きまる,代表表記:決まる/きまる 自他動詞:他:決める/きめる
      2 撃	動詞,*,子音動詞タ行,語幹,撃つ,う,代表表記:撃つ/うつ ドメイン:スポーツ;政治
      2 警察	名詞,普通名詞,*,*,警察,けいさつ,代表表記:警察/けいさつ 組織名末尾 カテゴリ:組織・団体;場所-施設 ドメイン:政治
      2 継ぐ	動詞,*,子音動詞ガ行,基本形,継ぐ,つぐ,代表表記:継ぐ/つぐ 付属動詞候補（基本）
      2 経験	名詞,サ変名詞,*,*,経験,けいけん,代表表記:経験/けいけん カテゴリ:抽象物
      2 形	接尾辞,名詞性名詞接尾辞,*,*,形,かた,代表表記:型/かた 内容語 カテゴリ:形・模様;抽象物
      2 契約	名詞,サ変名詞,*,*,契約,けいやく,代表表記:契約/けいやく カテゴリ:抽象物 ドメイン:ビジネス
      2 兄妹	名詞,普通名詞,*,*,兄妹,きょうだい,代表表記:兄弟/きょうだい カテゴリ:人 ドメイン:家庭・暮らし
      2 兄貴	名詞,普通名詞,*,*,兄貴,あにき,代表表記:兄貴/あにき カテゴリ:人 ドメイン:家庭・暮らし
      2 兄ちゃん	名詞,普通名詞,*,*,兄ちゃん,にいちゃん,代表表記:兄ちゃん/にいちゃん カテゴリ:人 ドメイン:家庭・暮らし
      2 軍団	名詞,普通名詞,*,*,軍団,ぐんだん,代表表記:軍団/ぐんだん カテゴリ:組織・団体
      2 群	名詞,普通名詞,*,*,群,ぐん,代表表記:群/ぐん 漢字読み:音 カテゴリ:抽象物
      2 繰り返す	動詞,*,子音動詞サ行,基本形,繰り返す,くりかえす,代表表記:繰り返す/くりかえす 補文ト
      2 繰り	動詞,*,子音動詞ラ行,基本連用形,繰る,くり,代表表記:繰る/くる
      2 駆使	名詞,サ変名詞,*,*,駆使,くし,代表表記:駆使/くし カテゴリ:抽象物
      2 苦労	名詞,サ変名詞,*,*,苦労,くろう,代表表記:苦労/くろう カテゴリ:抽象物
      2 近い	形容詞,*,イ形容詞アウオ段,基本形,近い,ちかい,代表表記:近い/ちかい 反義:形容詞:遠い/とおい
      2 玉	名詞,普通名詞,*,*,玉,たま,代表表記:玉/たま 漢字読み:訓 カテゴリ:形・模様
      2 極悪	名詞,普通名詞,*,*,極悪,ごくあく,代表表記:極悪/ごくあく カテゴリ:抽象物
      2 業	名詞,普通名詞,*,*,業,ぎょう,代表表記:業/ぎょう 漢字読み:音 カテゴリ:抽象物
      2 鏡	名詞,普通名詞,*,*,鏡,かがみ,代表表記:鏡/かがみ 漢字読み:訓 カテゴリ:人工物-その他 ドメイン:家庭・暮らし
      2 橋	名詞,普通名詞,*,*,橋,きょう,代表表記:橋/きょう 漢字読み:音 地名末尾 カテゴリ:場所-施設 ドメイン:交通
      2 教室	名詞,普通名詞,*,*,教室,きょうしつ,代表表記:教室/きょうしつ カテゴリ:場所-施設 ドメイン:教育・学習
      2 教えて	動詞,*,母音動詞,タ系連用テ形,教える,おしえて,代表表記:教える/おしえる ドメイン:教育・学習 授受動詞:受:教わる/おそわる
      2 恐	形容詞,*,イ形容詞アウオ段,語幹,恐い,こわ,代表表記:怖い/こわい
      2 共和	名詞,普通名詞,*,*,共和,きょうわ,代表表記:共和/きょうわ カテゴリ:抽象物
      2 虚	名詞,普通名詞,*,*,虚,きょ,代表表記:虚/きょ 漢字読み:音 カテゴリ:抽象物
      2 窮地	名詞,普通名詞,*,*,窮地,きゅうち,代表表記:窮地/きゅうち カテゴリ:抽象物
      2 泣き	動詞,*,子音動詞カ行,基本連用形,泣く,なき,代表表記:泣く/なく 反義:動詞:笑う/わらう
      2 救済	名詞,サ変名詞,*,*,救済,きゅうさい,代表表記:救済/きゅうさい カテゴリ:抽象物
      2 救わ	動詞,*,子音動詞ワ行,未然形,救う,すくわ,代表表記:救う/すくう ドメイン:健康・医学
      2 救っちゃ	動詞,*,子音動詞ワ行,タ系連用チャ形,救う,すくっちゃ,代表表記:救う/すくう ドメイン:健康・医学
      2 救	動詞,*,子音動詞ワ行,語幹,救う,すく,代表表記:救う/すくう ドメイン:健康・医学
      2 逆境	名詞,普通名詞,*,*,逆境,ぎゃっきょう,代表表記:逆境/ぎゃっきょう カテゴリ:抽象物
      2 蟻	名詞,普通名詞,*,*,蟻,あり,代表表記:蟻/あり カテゴリ:動物
      2 義兄	名詞,普通名詞,*,*,義兄,ぎけい,代表表記:義兄/ぎけい カテゴリ:人 ドメイン:家庭・暮らし
      2 擬人	名詞,普通名詞,*,*,擬人,ぎじん,代表表記:擬人/ぎじん カテゴリ:抽象物
      2 技	名詞,普通名詞,*,*,技,わざ,代表表記:技/わざ 漢字読み:訓 カテゴリ:抽象物
      2 戯	名詞,人名,*,*,*,*,*
      2 騎兵	名詞,普通名詞,*,*,騎兵,きへい,代表表記:騎兵/きへい カテゴリ:人 ドメイン:政治
      2 紀行	名詞,普通名詞,*,*,紀行,きこう,代表表記:紀行/きこう カテゴリ:抽象物 ドメイン:文化・芸術
      2 祈り	動詞,*,子音動詞ラ行,基本連用形,祈る,いのり,代表表記:祈る/いのる ドメイン:文化・芸術
      2 気ままな	形容詞,*,ナ形容詞,ダ列基本連体形,気ままだ,きままな,代表表記:気侭だ/きままだ
      2 気づいたら	動詞,*,子音動詞カ行,タ系条件形,気づく,きづいたら,代表表記:気付く/きづく 補文ト
      2 帰宅	名詞,サ変名詞,*,*,帰宅,きたく,代表表記:帰宅/きたく カテゴリ:抽象物 ドメイン:家庭・暮らし
      2 帰り	動詞,*,子音動詞ラ行,基本連用形,帰る,かえり,代表表記:帰る/かえる 自他動詞:他:帰す/かえす 反義:動詞:行く/いく;動詞:来る/くる
      2 帰って	動詞,*,子音動詞ラ行,タ系連用テ形,帰る,かえって,代表表記:帰る/かえる 自他動詞:他:帰す/かえす 反義:動詞:行く/いく;動詞:来る/くる
      2 機械	名詞,普通名詞,*,*,機械,きかい,代表表記:機械/きかい カテゴリ:人工物-その他 ドメイン:科学・技術
      2 危険	形容詞,*,ナ形容詞,語幹,危険だ,きけん,代表表記:危険だ/きけんだ 反義:形容詞:安全だ/あんぜんだ
      2 丸ごと	副詞,*,*,*,丸ごと,まるごと,代表表記:丸ごと/まるごと 数量修飾
      2 間違って	動詞,*,子音動詞ワ行,タ系連用テ形,間違う,まちがって,代表表記:間違う/まちがう 同義:動詞:間違える/まちがえる
      2 間違えて	動詞,*,母音動詞,タ系連用テ形,間違える,まちがえて,代表表記:間違える/まちがえる
      2 間	名詞,副詞的名詞,*,*,間,あいだ,代表表記:間/あいだ
      2 甘やかさ	動詞,*,子音動詞サ行,未然形,甘やかす,あまやかさ,代表表記:甘やかす/あまやかす
      2 感想	名詞,普通名詞,*,*,感想,かんそう,代表表記:感想/かんそう カテゴリ:抽象物
      2 幹部	名詞,普通名詞,*,*,幹部,かんぶ,代表表記:幹部/かんぶ 人名末尾 カテゴリ:人
      2 完璧	形容詞,*,ナ形容詞,語幹,完璧だ,かんぺき,代表表記:完璧だ/かんぺきだ
      2 勘弁	名詞,サ変名詞,*,*,勘弁,かんべん,代表表記:勘弁/かんべん カテゴリ:抽象物
      2 活躍	名詞,サ変名詞,*,*,活躍,かつやく,代表表記:活躍/かつやく カテゴリ:抽象物
      2 学生	名詞,普通名詞,*,*,学生,がくせい,代表表記:学生/がくせい カテゴリ:人 ドメイン:教育・学習
      2 学	接尾辞,名詞性名詞接尾辞,*,*,学,がく,代表表記:学/がく 内容語 カテゴリ:抽象物 同義:名詞:学問/がくもん
      2 覚醒	名詞,サ変名詞,*,*,覚醒,かくせい,代表表記:覚醒/かくせい カテゴリ:抽象物
      2 鎧	名詞,普通名詞,*,*,鎧,よろい,代表表記:鎧/よろい カテゴリ:人工物-衣類
      2 開花	名詞,サ変名詞,*,*,開花,かいか,代表表記:開花/かいか カテゴリ:抽象物
      2 灰色	名詞,普通名詞,*,*,灰色,はいいろ,代表表記:灰色/はいいろ カテゴリ:色
      2 海賊	名詞,普通名詞,*,*,海賊,かいぞく,代表表記:海賊/かいぞく カテゴリ:人
      2 改変	名詞,サ変名詞,*,*,改変,かいへん,代表表記:改変/かいへん カテゴリ:抽象物
      2 改善	名詞,サ変名詞,*,*,改善,かいぜん,代表表記:改善/かいぜん カテゴリ:抽象物 反義:名詞-サ変名詞:改悪/かいあく
      2 改稿	名詞,人名,*,*,*,*,*
      2 怪盗	名詞,組織名,*,*,怪盗,かいとう,自動獲得:Wikipedia Wikipedia上位語:盗賊/とうぞく
      2 怪しい	形容詞,*,イ形容詞イ段,基本形,怪しい,あやしい,代表表記:怪しい/あやしい 動詞派生:怪しむ/あやしむ
      2 怪	名詞,普通名詞,*,*,怪,かい,代表表記:怪/かい 漢字読み:音 カテゴリ:抽象物
      2 快適	形容詞,*,ナ形容詞,語幹,快適だ,かいてき,代表表記:快適だ/かいてきだ
      2 回復	名詞,サ変名詞,*,*,回復,かいふく,代表表記:回復/かいふく カテゴリ:抽象物
      2 回さ	動詞,*,子音動詞サ行,未然形,回す,まわさ,代表表記:回す/まわす 付属動詞候補（基本） 自他動詞:自:回る/まわる
      2 会社	名詞,普通名詞,*,*,会社,かいしゃ,代表表記:会社/かいしゃ カテゴリ:組織・団体;場所-施設 ドメイン:ビジネス
      2 会議	名詞,サ変名詞,*,*,会議,かいぎ,代表表記:会議/かいぎ 組織名末尾 カテゴリ:抽象物
      2 我が	連体詞,*,*,*,我が,わが,代表表記:我が/わが
      2 課	名詞,普通名詞,*,*,課,か,代表表記:課/か 漢字読み:音 カテゴリ:組織・団体;場所-その他 ドメイン:ビジネス
      2 華	名詞,普通名詞,*,*,*,*,*
      2 華	名詞,人名,*,*,*,*,*
      2 花畑	名詞,普通名詞,*,*,花畑,はなばたけ,代表表記:花畑/はなばたけ カテゴリ:場所-その他
      2 稼ぎ	動詞,*,子音動詞ガ行,基本連用形,稼ぐ,かせぎ,代表表記:稼ぐ/かせぐ ドメイン:ビジネス
      2 火	名詞,普通名詞,*,*,火,ひ,代表表記:火/ひ 漢字読み:訓 カテゴリ:自然物
      2 歌	名詞,普通名詞,*,*,歌,うた,代表表記:歌/うた 漢字読み:訓 カテゴリ:抽象物 ドメイン:文化・芸術;レクリエーション
      2 果て	動詞,*,母音動詞,基本連用形,果てる,はて,代表表記:果てる/はてる 付属動詞候補（基本） 自他動詞:他:果たす/はたす
      2 家族	名詞,普通名詞,*,*,家族,かぞく,代表表記:家族/かぞく カテゴリ:組織・団体 ドメイン:家庭・暮らし
      2 家	名詞,普通名詞,*,*,家,いえ,代表表記:家/いえ 漢字読み:訓 カテゴリ:組織・団体;場所-施設 ドメイン:家庭・暮らし
      2 可愛い	形容詞,*,イ形容詞イ段,基本形,可愛い,かわいい,代表表記:可愛い/かわいい
      2 価値	名詞,普通名詞,*,*,価値,かち,代表表記:価値/かち カテゴリ:抽象物
      2 仮面	名詞,普通名詞,*,*,仮面,かめん,代表表記:仮面/かめん カテゴリ:人工物-その他 ドメイン:文化・芸術
      2 下剋上	名詞,普通名詞,*,*,下剋上,下剋上,自動獲得:Wikipedia 読み不明 Wikipediaリダイレクト:下克上
      2 下	接尾辞,名詞性名詞接尾辞,*,*,下,か,代表表記:下/か
      2 王者	名詞,普通名詞,*,*,王者,おうじゃ,代表表記:王者/おうじゃ カテゴリ:人 ドメイン:政治
      2 王宮	名詞,普通名詞,*,*,王宮,おうきゅう,代表表記:王宮/おうきゅう 地名末尾 カテゴリ:場所-施設 ドメイン:政治
      2 殴る	動詞,*,子音動詞ラ行,基本形,殴る,なぐる,代表表記:殴る/なぐる
      2 奥	名詞,普通名詞,*,*,奥,おく,代表表記:奥/おく 漢字読み:訓 カテゴリ:場所-機能
      2 演じて	動詞,*,ザ変動詞,タ系連用テ形,演ずる,えんじて,代表表記:演ずる/えんずる ドメイン:文化・芸術 同義:動詞:演じる/えんじる
      2 円い	形容詞,*,イ形容詞アウオ段,基本形,円い,まるい,代表表記:丸い/まるい 名詞派生:丸/まる
      2 永遠	形容詞,*,ナノ形容詞,語幹,永遠だ,えいえん,代表表記:永遠だ/えいえんだ
      2 影	名詞,普通名詞,*,*,影,かげ,代表表記:影/かげ 漢字読み:訓 カテゴリ:抽象物
      2 運営	名詞,サ変名詞,*,*,運営,うんえい,代表表記:運営/うんえい カテゴリ:抽象物 ドメイン:ビジネス
      2 羽根	名詞,普通名詞,*,*,羽根,はね,代表表記:羽根/はね カテゴリ:動物-部位
      2 隠し	動詞,*,子音動詞サ行,基本連用形,隠す,かくし,代表表記:隠す/かくす 反義:動詞:現す/あらわす;動詞:出す/だす;動詞:明かす/あかす
      2 引退	名詞,サ変名詞,*,*,引退,いんたい,代表表記:引退/いんたい カテゴリ:抽象物 ドメイン:スポーツ;ビジネス
      2 引く	動詞,*,子音動詞カ行,基本形,引く,ひく,代表表記:引く/ひく 反義:動詞:押す/おす;動詞:加える/くわえる;動詞:足す/たす
      2 一心同体	名詞,普通名詞,*,*,一心同体,いっしんどうたい,代表表記:一心同体/いっしんどうたい カテゴリ:抽象物
      2 一家	名詞,普通名詞,*,*,一家,いっか,代表表記:一家/いっか カテゴリ:組織・団体
      2 井	名詞,普通名詞,*,*,井,い,代表表記:井/い 漢字読み:訓 カテゴリ:場所-自然
      2 遺跡	名詞,普通名詞,*,*,遺跡,いせき,代表表記:遺跡/いせき 地名末尾 カテゴリ:場所-その他 ドメイン:文化・芸術
      2 遺産	名詞,普通名詞,*,*,遺産,いさん,代表表記:遺産/いさん カテゴリ:人工物-金銭 ドメイン:文化・芸術;家庭・暮らし
      2 衣	名詞,普通名詞,*,*,衣,ころも,代表表記:衣/ころも 漢字読み:訓 カテゴリ:人工物-衣類 ドメイン:家庭・暮らし;料理・食事
      2 異邦	名詞,普通名詞,*,*,異邦,いほう,代表表記:異邦/いほう カテゴリ:場所-その他
      2 異常な	形容詞,*,ナ形容詞,ダ列基本連体形,異常だ,いじょうな,代表表記:異常だ/いじょうだ 反義:形容詞:正常だ/せいじょうだ
      2 以外	接尾辞,名詞性名詞接尾辞,*,*,以外,いがい,代表表記:以外/いがい 準内容語 カテゴリ:抽象物
